program_id,program_name,pdf,Address,City,Zip
000000401200,ACADEMYONE CHILDCARE & PRESCHOOL,https://childcaresearch.ohio.gov//pdf/000000401200_2024-11-13_ANNUAL.pdf,5893 PRESERVE BLVD,NEW ALBANY,43054
000000300723,ACCAA EDGEWOOD HEAD START,https://childcaresearch.ohio.gov//pdf/000000300723_2024-10-24_ANNUAL.pdf,2428 BLAKE ROAD,ASHTABULA,44004
000000300836,ACCAA HEAD START - GRAND VALLEY,https://childcaresearch.ohio.gov//pdf/000000300836_2024-09-23_ANNUAL.pdf,111 GRAND VALLEY AVENUE,ORWELL,44076
000000300457,ACCAA HEAD START CORK ELEMENTARY SCHOOL,https://childcaresearch.ohio.gov//pdf/000000300457_2024-12-11_ANNUAL.pdf,341 STATE ROUTE 534,GENEVA,44041
000000300466,ACCAA ONTARIO PRIMARY SCHOOL HEAD START,https://childcaresearch.ohio.gov//pdf/000000300466_2024-11-19_ANNUAL.pdf,2302 WADE AVENUE,ASHTABULA,44004
000000300837,ACCAA/ACHST A-TECH-JEFFERSON,https://childcaresearch.ohio.gov//pdf/000000300837_2024-10-22_ANNUAL.pdf,"1565 STATE ROUTE 167, B BLDG.",JEFFERSON,44047
000000300611,ACCAA/ACHST/EHS-COLLINS,https://childcaresearch.ohio.gov//pdf/000000300611_2024-10-03_ANNUAL.pdf,104 W. 45TH STREET,ASHTABULA,44004
000000302514,ACORN CHILDCARE CENTER,https://childcaresearch.ohio.gov//pdf/000000302514_2024-07-16_ANNUAL.pdf,37800 FRENCH CREEK RD,AVON,44011
000000408811,ADAMS LANE HEAD START,https://childcaresearch.ohio.gov//pdf/000000408811_2024-01-30_ANNUAL.pdf,1580 ADAMS LANE,ZANESVILLE,43701
002230027685,ADVANTAGE EARLY LEARNING ACADEMY,https://childcaresearch.ohio.gov//pdf/002230027685_2024-09-30_ANNUAL.pdf,233 W CHURCH STREET B,MARION,43302
002200023288,ADVANTAGE EARLY LEARNING ACADEMY MV,https://childcaresearch.ohio.gov//pdf/002200023288_2024-02-14_ANNUAL.pdf,398 DAMASCUS RD,MARYSVILLE,43040
000000104134,ADVENTURE PLACE CHILD DEVELOPMENT CENTER,https://childcaresearch.ohio.gov//pdf/000000104134_2024-07-31_ANNUAL.pdf,1516 EDISON ST. NW,UNIONTOWN,44685
002170014522,AGAPE ACADEMY,https://childcaresearch.ohio.gov//pdf/002170014522_2024-12-13_ANNUAL.pdf,4519 CEMETERY RD,HILLIARD,43026
000000203876,AGAPE CHILDREN'S CENTER,https://childcaresearch.ohio.gov//pdf/000000203876_2024-08-27_ANNUAL.pdf,1060 SMILEY AVE,CINCINNATI,45240
002180019166,AGAPE LIFE CHRISTIAN ACADEMY,https://childcaresearch.ohio.gov//pdf/002180019166_2024-10-08_ANNUAL.pdf,6389 BLACKLICK-EASTERN RD,PICKERINGTON,43147
000000303315,AGAPELAND - CHURCH OF THE NAZARENE,https://childcaresearch.ohio.gov//pdf/000000303315_2024-08-13_ANNUAL.pdf,34950 LAKESHORE BLVD,EASTLAKE,44094
000000300786,AGEZ AND STAGEZ INC DBA BLUEPRINTS TO FOOTPRINTS,https://childcaresearch.ohio.gov//pdf/000000300786_2024-12-23_ANNUAL.pdf,87 NORTHFIELD ROAD,BEDFORD,44146
000000411097,AGORA'S LITTLE GEMS EARLY LEARNING & CHILDCARE,https://childcaresearch.ohio.gov//pdf/000000411097_2024-10-29_ANNUAL.pdf,400 W. BROAD ST,COLUMBUS,43215
000000401263,AJ'S LEARNING CENTER,https://childcaresearch.ohio.gov//pdf/000000401263_2024-10-03_ANNUAL.pdf,1704 SCHROCK,COLUMBUS,43229
002220027318,AL MAHDI ACADEMY,https://childcaresearch.ohio.gov//pdf/002220027318_2024-10-23_ANNUAL.pdf,6004 HILL AVE,TOLEDO,43615
000000401258,ALEY CHRISTIAN ACADEMY,https://childcaresearch.ohio.gov//pdf/000000401258_2023-08-22_ANNUAL.pdf,4143 KEMP RD,BEAVERCREEK,45431
002220026314,"ALL 4 KIDS 2, LLC",https://childcaresearch.ohio.gov//pdf/002220026314_2025-01-07_ANNUAL.pdf,6520 PILLIOD RD,HOLLAND,43528
000000500156,"ALL 4 KIDS, LLC",https://childcaresearch.ohio.gov//pdf/000000500156_2024-12-17_ANNUAL.pdf,330 OAK TERRACE BLVD,HOLLAND,43528
002190020507,"ALL 4 YOU CHILD DEVELOPMENT CENTER, LLC",https://childcaresearch.ohio.gov//pdf/002190020507_2024-10-31_ANNUAL.pdf,"1007 S. MCCORD #14, 15, 16",HOLLAND,43528
002190019480,ALL ABOUT CHILDREN,https://childcaresearch.ohio.gov//pdf/002190019480_2024-08-06_ANNUAL.pdf,77 HAVENS LANE,WAVERLY,45690
000000100150,ALL ABOUT KIDS,https://childcaresearch.ohio.gov//pdf/000000100150_2024-01-22_ANNUAL.pdf,6199 FRANK AVE. NW,NORTH CANTON,44720
000000200060,ALL ABOUT KIDS AT WARDS CORNER,https://childcaresearch.ohio.gov//pdf/000000200060_2024-09-24_ANNUAL.pdf,520 WARDS CORNER,LOVELAND,45140
000000206387,ALL ABOUT KIDS CHILD CARE & LEARNING CENTER,https://childcaresearch.ohio.gov//pdf/000000206387_2024-11-25_ANNUAL.pdf,7015 YANKEE RD,LIBERTY TWP,45044
000000207299,ALL ABOUT KIDS CHILDCARE & LEARNING CENTER,https://childcaresearch.ohio.gov//pdf/000000207299_2024-09-24_ANNUAL.pdf,3759 WEST FORK RD,GREEN TWNSHIP,45247
000000201413,ALL ABOUT KIDS CHILDCARE AND LEARNING CENTER,https://childcaresearch.ohio.gov//pdf/000000201413_2024-09-04_ANNUAL.pdf,6060 RADIO WAY,MASON,45040
000000400867,ALL ABOUT KIDS CHILDCARE AND LEARNING CENTER,https://childcaresearch.ohio.gov//pdf/000000400867_2024-11-21_ANNUAL.pdf,255 GREEN MEADOWS DR. S,LEWIS CENTER,43035
000000200251,ALL ABOUT KIDS CHILDCARE AND LEARNING CENTER,https://childcaresearch.ohio.gov//pdf/000000200251_2024-09-12_ANNUAL.pdf,5920 REIGART ROAD,HAMILTON,45011
002170014676,ALL ABOUT KIDS CHILDCARE AND LEARNING CENTER,https://childcaresearch.ohio.gov//pdf/002170014676_2024-08-30_ANNUAL.pdf,4850 EDWARDS FARMS ROAD,HILLIARD,43026
000000207817,ALL ABOUT KIDS CHILDCARE AND LEARNING CENTER,https://childcaresearch.ohio.gov//pdf/000000207817_2024-12-18_ANNUAL.pdf,11210 MONTGOMERY RD,CINCINNATI,45249
000000200350,ALL ABOUT KIDS CHILDCARE AND LEARNING CENTER,https://childcaresearch.ohio.gov//pdf/000000200350_2024-11-07_ANNUAL.pdf,1300 WEST SOCIAL ROW ROAD,CENTERVILLE,45458
000000200156,ALL ABOUT KIDS CHILDCARE AND LEARNING CENTER,https://childcaresearch.ohio.gov//pdf/000000200156_2024-07-11_ANNUAL.pdf,7633 FIVE MILE RD.,CINCINNATI,45230
000000200540,ALL ABOUT KIDS CHILDCARE AND LEARNING CENTER,https://childcaresearch.ohio.gov//pdf/000000200540_2024-08-28_ANNUAL.pdf,5779 FILVIEW CIRCLE,CINCINNATI,45248
